"slug","outgoing_links","incoming_links","total_link_degree","network_role"
"content-audits-and-framework-governance",0,1,1,"thinly linked"
"editorial-metadata-and-content-systems",0,1,1,"thinly linked"
"framework-governance-and-editorial-maintenance",0,1,1,"thinly linked"
"framework-literacy-and-the-structure-of-usable-knowledge",0,1,1,"thinly linked"
"frameworks-templates-and-models",8,0,8,"hub"
"pillar-pages-and-topic-clusters",0,0,0,"thinly linked"
"taxonomy-design-for-content-frameworks",0,1,1,"thinly linked"
"the-history-of-framework-thinking-in-communication-and-strategy",0,1,1,"thinly linked"
"what-are-content-frameworks",0,1,1,"thinly linked"
"what-makes-a-powerful-content-framework",0,1,1,"thinly linked"
"why-frameworks-matter-in-research-education-and-strategic-communication",0,0,0,"thinly linked"
