source_slug,target_slug,anchor_text,anchor_length,quality,problems
content-frameworks,what-are-content-frameworks,What Are Content Frameworks,27,strong,none
content-frameworks,why-frameworks-matter-in-research-education-and-strategic-communication,Why Frameworks Matter in Research Education and Strategic Communication,71,strong,none
content-frameworks,pillar-pages-and-topic-clusters,Pillar Pages and Topic Clusters,31,strong,none
content-frameworks,internal-linking-as-framework-infrastructure,Internal Linking as Framework Infrastructure,44,strong,none
internal-linking-as-framework-infrastructure,taxonomy-design-for-content-frameworks,Taxonomy Design for Content Frameworks,38,strong,none
internal-linking-as-framework-infrastructure,content-audits-and-framework-governance,Content Audits and Framework Governance,39,strong,none
internal-linking-as-framework-infrastructure,content-frameworks,Content Frameworks article map,30,strong,none
internal-linking-as-framework-infrastructure,pillar-pages-and-topic-clusters,pillar pages and topic clusters,31,strong,none
internal-linking-as-framework-infrastructure,frameworks-for-digital-knowledge-systems,digital knowledge systems,25,strong,none
internal-linking-as-framework-infrastructure,content-audits-and-framework-governance,content audits and framework governance,39,strong,none
internal-linking-as-framework-infrastructure,editorial-metadata-and-content-systems,editorial metadata and content systems,38,strong,none
internal-linking-as-framework-infrastructure,framework-governance-and-editorial-maintenance,framework governance and editorial maintenance,46,strong,none
pillar-pages-and-topic-clusters,internal-linking-as-framework-infrastructure,internal linking as framework infrastructure,44,strong,none
narrative-pathways-and-knowledge-architecture,internal-linking-as-framework-infrastructure,internal linking,16,strong,none
frameworks-for-digital-knowledge-systems,internal-linking-as-framework-infrastructure,semantic internal links,23,strong,none
why-frameworks-matter-in-research-education-and-strategic-communication,internal-linking-as-framework-infrastructure,link infrastructure,19,strong,none
what-are-content-frameworks,internal-linking-as-framework-infrastructure,click here,10,needs review,generic_anchor
educational-scaffolding-and-the-design-of-learning-systems,frameworks-for-research-communication,frameworks for research communication,37,strong,none
