slug,outgoing_links,incoming_links,total_link_degree,network_role
content-audits-and-framework-governance,0,1,1,thinly linked
educational-scaffolding-and-the-design-of-learning-systems,0,1,1,thinly linked
framework-governance-and-editorial-maintenance,0,1,1,thinly linked
framework-literacy-and-the-structure-of-usable-knowledge,0,1,1,thinly linked
frameworks-for-research-communication,0,1,1,thinly linked
frameworks-templates-and-models,0,0,0,thinly linked
history-of-framework-thinking-in-communication-and-strategy,0,0,0,thinly linked
pillar-pages-and-topic-clusters,0,0,0,thinly linked
taxonomy-design-for-content-frameworks,0,0,0,thinly linked
what-are-content-frameworks,0,1,1,thinly linked
what-makes-a-powerful-content-framework,7,0,7,hub
why-frameworks-matter-in-research-education-and-strategic-communication,0,1,1,thinly linked
